Round: 9, Child: 0, Score: 344.5, VisitCount: 3126, Child: 1, Score: 17.5, VisitCount: 683, Child: 2, Score: 11.5, VisitCount: 622, 
Round: 10, Child: 0, Score: 15.0, VisitCount: 1208, Child: 1, Score: 17.5, VisitCount: 1243, Child: 2, Score: 34.0, VisitCount: 1466, 
Round: 11, Child: 0, Score: 2.0, VisitCount: 1255, Child: 1, Score: 0.0, VisitCount: 1221, Child: 2, Score: 6.0, VisitCount: 1323, 
Round: 12, Child: 0, Score: 0.0, VisitCount: 1175, Child: 1, Score: 0.0, VisitCount: 1175, Child: 2, Score: 0.0, VisitCount: 1175, 
Round: 13, Child: 0, Score: 0.0, VisitCount: 1115, Child: 1, Score: 0.0, VisitCount: 1114, Child: 2, Score: 0.0, VisitCount: 1114, 
Round: 14, Child: 0, Score: 0.0, VisitCount: 1065, Child: 1, Score: 0.0, VisitCount: 1064, Child: 2, Score: 0.0, VisitCount: 1064, 
Round: 15, Child: 0, Score: 0.0, VisitCount: 1027, Child: 1, Score: 0.0, VisitCount: 1026, Child: 2, Score: 0.0, VisitCount: 1026, 
Round: 16, Child: 0, Score: 0.0, VisitCount: 1022, Child: 1, Score: 0.0, VisitCount: 1022, Child: 2, Score: 0.0, VisitCount: 1022, 
Round: 17, Child: 0, Score: 0.0, VisitCount: 1003, Child: 1, Score: 0.0, VisitCount: 1003, Child: 2, Score: 0.0, VisitCount: 1003, 
Round: 18, Child: 0, Score: 0.0, VisitCount: 1502, Child: 1, Score: 0.0, VisitCount: 1502, 
Round: 19, Child: 0, Score: 0.0, VisitCount: 3001, 
Round: 0, Child: 0, Score: 319.0, VisitCount: 1019, Child: 1, Score: 366.0, VisitCount: 1349, Child: 2, Score: 2207.5, VisitCount: 3921, 
Round: 1, Child: 0, Score: 801.5, VisitCount: 2695, Child: 1, Score: 1146.5, VisitCount: 3730, Child: 2, Score: 1296.0, VisitCount: 4165, 
Round: 2, Child: 0, Score: 291.5, VisitCount: 1537, Child: 1, Score: 1634.5, VisitCount: 4147, Child: 2, Score: 377.0, VisitCount: 1589, 
Round: 3, Child: 0, Score: 448.0, VisitCount: 2108, Child: 1, Score: 1040.5, VisitCount: 3686, Child: 2, Score: 243.5, VisitCount: 1445, 
Round: 4, Child: 0, Score: 233.0, VisitCount: 1239, Child: 1, Score: 1805.0, VisitCount: 3997, Child: 2, Score: 135.5, VisitCount: 769, 
Round: 5, Child: 0, Score: 148.0, VisitCount: 1029, Child: 1, Score: 1722.0, VisitCount: 3789, Child: 2, Score: 177.5, VisitCount: 1069, 
Round: 6, Child: 0, Score: 95.5, VisitCount: 911, Child: 1, Score: 1102.0, VisitCount: 3713, Child: 2, Score: 124.0, VisitCount: 875, 
Round: 7, Child: 0, Score: 100.5, VisitCount: 1457, Child: 1, Score: 81.0, VisitCount: 1295, Child: 2, Score: 235.0, VisitCount: 2351, 
Round: 8, Child: 0, Score: 906.5, VisitCount: 3213, Child: 1, Score: 67.0, VisitCount: 671, Child: 2, Score: 10.0, VisitCount: 575, 
Round: 9, Child: 0, Score: 20.0, VisitCount: 249, Child: 1, Score: 22.0, VisitCount: 285, Child: 2, Score: 1768.0, VisitCount: 3165, 
Round: 10, Child: 0, Score: 92.0, VisitCount: 888, Child: 1, Score: 423.5, VisitCount: 2625, Child: 2, Score: 127.5, VisitCount: 1089, 
Round: 11, Child: 0, Score: 634.0, VisitCount: 2666, Child: 1, Score: 28.5, VisitCount: 463, Child: 2, Score: 10.0, VisitCount: 334, 
Round: 12, Child: 0, Score: 27.0, VisitCount: 1112, Child: 1, Score: 58.0, VisitCount: 1456, Child: 2, Score: 45.0, VisitCount: 1318, 
Round: 13, Child: 0, Score: 0.0, VisitCount: 1083, Child: 1, Score: 0.0, VisitCount: 1082, Child: 2, Score: 0.0, VisitCount: 1082, 
Round: 14, Child: 0, Score: 0.0, VisitCount: 1039, Child: 1, Score: 0.0, VisitCount: 1039, Child: 2, Score: 0.0, VisitCount: 1039, 
Round: 15, Child: 0, Score: 0.0, VisitCount: 1053, Child: 1, Score: 0.0, VisitCount: 1053, Child: 2, Score: 0.0, VisitCount: 1052, 
Round: 16, Child: 0, Score: 0.0, VisitCount: 1011, Child: 1, Score: 0.0, VisitCount: 1011, Child: 2, Score: 0.0, VisitCount: 1011, 
Round: 17, Child: 0, Score: 0.0, VisitCount: 1007, Child: 1, Score: 0.0, VisitCount: 1007, Child: 2, Score: 0.0, VisitCount: 1007, 
Round: 18, Child: 0, Score: 0.0, VisitCount: 1502, Child: 1, Score: 0.0, VisitCount: 1502, 
Round: 19, Child: 0, Score: 0.0, VisitCount: 3001, 
Round: 0, Child: 0, Score: 771.0, VisitCount: 2586, Child: 1, Score: 2379.5, VisitCount: 5722, Child: 2, Score: 1003.5, VisitCount: 2892, 
Round: 1, Child: 0, Score: 183.0, VisitCount: 785, Child: 1, Score: 136.5, VisitCount: 609, Child: 2, Score: 1584.0, VisitCount: 3749, 
Round: 2, Child: 0, Score: 1543.5, VisitCount: 5114, Child: 1, Score: 518.0, VisitCount: 1982, Child: 2, Score: 619.5, VisitCount: 2300, 
Round: 3, Child: 0, Score: 1373.0, VisitCount: 3501, Child: 1, Score: 216.0, VisitCount: 989, Child: 2, Score: 167.5, VisitCount: 701, 
Round: 4, Child: 0, Score: 390.5, VisitCount: 2208, Child: 1, Score: 856.0, VisitCount: 4228, Child: 2, Score: 293.0, VisitCount: 1796, 
Round: 5, Child: 0, Score: 976.0, VisitCount: 3909, Child: 1, Score: 88.0, VisitCount: 1029, Child: 2, Score: 87.0, VisitCount: 1009, 
Round: 6, Child: 0, Score: 36.5, VisitCount: 641, Child: 1, Score: 1121.0, VisitCount: 3345, Child: 2, Score: 47.5, VisitCount: 659, 
Round: 7, Child: 0, Score: 1756.0, VisitCount: 3982, Child: 1, Score: 355.5, VisitCount: 1042, Child: 2, Score: 277.5, VisitCount: 882, 
Round: 8, Child: 0, Score: 35.0, VisitCount: 421, Child: 1, Score: 32.0, VisitCount: 273, Child: 2, Score: 1191.0, VisitCount: 3231, 
Round: 9, Child: 0, Score: 601.0, VisitCount: 1530, Child: 1, Score: 1150.0, VisitCount: 2722, Child: 2, Score: 169.0, VisitCount: 578, 
